Altitude_ft,Airspeed_knots,Ejection_Type,Pilot_Posture,Time_of_Day,Weather,Terrain,System_Malfunction,Aircraft_Altitude,G_Force,Ejection_Success,Injury_Level
15332.28,588.11,Zero-Zero,Optimal,Night,Rain,Water,0,Stable,13.57,1,severe
9792.44,312.17,Conventional,Optimal,Night,Rain,Land,1,Stable,13.52,1,severe
15878.15,829.16,Zero-Zero,Slouched,Night,Clear,Land,0,Stable,9.26,1,severe
6787.09,269.77,Zero-Zero,Slouched,Day,Clear,Land,1,Stable,8.57,1,Minor
37862.94,702.04,Zero-Zero,Optimal,Day,Rain,Water,0,Stable,11.47,1,severe
9256.6,444.99,Conventional,Optimal,Day,Clear,Land,0,Stable,9.99,1,severe
50000.0,500.5,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,18.74,1,None
7679.55,362.91,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,14.46,1,severe
13811.51,762.87,Conventional,Optimal,Night,Storm,Water,0,Stable,17.47,1,None
10220.38,596.43,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,12.77,1,severe
6464.54,548.53,Conventional,Optimal,Night,Clear,Land,0,Stable,6.94,1,Minor
12855.61,487.8,Zero-Zero,Optimal,Night,Clear,Water,1,Stable,10.14,1,severe
12301.77,651.13,Zero-Zero,Optimal,Night,Storm,Water,0,Stable,12.11,1,severe
19560.95,353.18,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,6.8,1,Minor
32158.33,805.81,Conventional,Optimal,Day,Clear,Land,0,Stable,15.45,1,None
5939.85,420.54,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,18.49,1,None
7178.72,903.48,Zero-Zero,Slouched,Day,Clear,Land,1,Stable,9.1,0,severe
50000.0,333.54,Conventional,Optimal,Night,Clear,Water,0,Stable,20.0,1,None
7681.15,404.41,Zero-Zero,Slouched,Night,Clear,Water,1,Stable,8.31,1,Minor
7731.04,819.16,Conventional,Slouched,Day,Rain,Water,0,Stable,12.98,0,severe
14918.22,680.45,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,18.31,1,None
18278.47,357.21,Zero-Zero,Slouched,Day,Clear,Land,0,Stable,12.36,1,severe
16658.56,636.98,Conventional,Optimal,Day,Clear,Land,0,Stable,20.0,1,None
5316.26,524.13,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,13.81,1,severe
28280.45,834.37,Zero-Zero,Optimal,Night,Storm,Mountain,0,Stable,20.0,1,None
8374.82,421.22,Conventional,Optimal,Night,Clear,Land,0,Stable,6.96,1,Minor
13110.58,603.34,Zero-Zero,Optimal,Night,Clear,Mountain,0,Stable,16.1,1,None
9722.79,422.13,Conventional,Optimal,Day,Clear,Mountain,0,Stable,8.09,1,Minor
5269.85,848.51,Conventional,Slouched,Night,Storm,Land,0,Stable,10.49,0,severe
11815.13,871.42,Zero-Zero,Optimal,Day,Clear,Mountain,0,Stable,7.3,1,Minor
23000.85,254.41,Zero-Zero,Optimal,Night,Rain,Mountain,0,Stable,8.31,1,Minor
9572.65,377.82,Conventional,Optimal,Night,Clear,Mountain,0,Stable,10.09,1,severe
12243.95,430.04,Zero-Zero,Optimal,Day,Clear,Land,1,Stable,7.12,1,Minor
11393.77,338.35,Conventional,Optimal,Day,Clear,Water,0,Stable,6.77,1,Minor
9880.08,417.4,Zero-Zero,Slouched,Day,Clear,Land,0,Stable,8.84,1,Minor
18631.13,733.25,Zero-Zero,Slouched,Day,Clear,Mountain,0,Stable,14.65,1,severe
9083.32,334.99,Conventional,Optimal,Day,Clear,Land,0,Stable,18.47,1,None
14049.51,776.62,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,7.76,1,Minor
8799.92,789.86,Conventional,Optimal,Night,Clear,Land,0,Stable,13.44,1,severe
9250.31,316.43,Zero-Zero,Slouched,Day,Clear,Land,0,Stable,8.25,1,Minor
7808.15,652.45,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,16.15,1,None
16971.63,845.0,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,12.4,1,severe
7383.6,356.83,Conventional,Slouched,Night,Clear,Water,0,Stable,9.74,1,severe
8110.1,304.3,Conventional,Optimal,Night,Rain,Land,0,Stable,5.7,1,Minor
9682.36,427.81,Conventional,Optimal,Night,Clear,Land,0,Stable,19.14,1,None
13511.79,656.31,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,20.0,1,None
29932.38,320.1,Zero-Zero,Optimal,Day,Clear,Mountain,0,Stable,16.77,1,None
22091.25,459.52,Zero-Zero,Slouched,Night,Clear,Land,1,Stable,7.08,1,Minor
6781.47,457.85,Zero-Zero,Slouched,Night,Clear,Land,0,Stable,16.94,1,None
5244.51,420.91,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,11.72,1,severe
20355.08,368.04,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,5.58,1,Minor
8076.91,297.43,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,12.0,1,severe
9145.57,822.47,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,14.34,1,severe
21839.98,512.28,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,18.47,1,None
21474.24,401.7,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,12.26,1,severe
11803.53,387.27,Zero-Zero,Optimal,Night,Clear,Land,0,Stable,16.27,1,None
23663.48,377.55,Conventional,Slouched,Night,Clear,Land,0,Stable,10.79,1,severe
9544.3,397.54,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,18.28,1,None
5490.13,410.41,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,13.83,1,severe
8067.23,352.12,Zero-Zero,Optimal,Night,Rain,Water,1,Stable,16.38,1,None
11233.73,318.8,Conventional,Optimal,Night,Rain,Land,0,Stable,15.08,1,None
16820.65,495.07,Zero-Zero,Optimal,Day,Rain,Land,0,Stable,9.34,1,severe
8760.57,349.86,Zero-Zero,Optimal,Day,Clear,Land,0,Stable,20.0,1,None
11208.95,594.74,Conventional,Optimal,Night,Clear,Water,1,Stable,9.98,0,severe
22130.65,437.05,Zero-Zero,Slouched,Day,Clear,Land,0,Stable,14.74,1,severe
16535.68,866.45,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,17.5,1,None
8916.12,337.74,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,12.4,1,severe
13599.39,532.57,Zero-Zero,Optimal,Day,Clear,Water,0,Stable,12.7,1,severe
15014.4,582.62,Zero-Zero,Optimal,Night,Clear,Water,0,Stable,12.71,1,severe
